"siteID","Sites","Description","Soil.characteristics","Products","Economic.interests","Other.services","Hypothetical.combinations","Link","lat","lon"
94,"Lat: 51.16901, Lng: 4.600613","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)","","","","Agroforestry Map of Europe - DigitAF",51.16901,4.600613
95,"Lat: 50.926171, Lng: 4.620845","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity","","Agroforestry Map of Europe - DigitAF",50.926171,4.620845
96,"Lat: 50.915167, Lng: 4.692306","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","","","Agroforestry Map of Europe - DigitAF",50.915167,4.692306
97,"Lat: 50.91453, Lng: 4.717498","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range","","Agroforestry Map of Europe - DigitAF",50.91453,4.717498
98,"Lat: 50.922725, Lng: 4.943621","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
food production (e.g. production fruit / nut)","","Motivation/rationale for establishing or maintaining agroforestry system:
Higher productivity
Diversified product range","","Agroforestry Map of Europe - DigitAF",50.922725,4.943621
99,"Lat: 50.803647, Lng: 5.004174","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
cultural benefits (incl. recreation/ landscape)

","","Motivation/rationale for establishing or maintaining agroforestry system:
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",50.803647,5.004174
100,"Lat: 50.748306, Lng: 5.084471","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance","","Agroforestry Map of Europe - DigitAF",50.748306,5.084471
101,"Lat: 50.760617, Lng: 5.332721","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)

(Intended) use of the shrubs:
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance","","Agroforestry Map of Europe - DigitAF",50.760617,5.332721
102,"Lat: 51.031067, Lng: 5.287406","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)

","","Motivation/rationale for establishing or maintaining agroforestry system:
Higher productivity","","Agroforestry Map of Europe - DigitAF",51.031067,5.287406
103,"Lat: 50.918568, Lng: 5.565197","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity
low soil fertility","(Intended) use of trees:
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
cultural benefits (incl. recreation/ landscape)","","","","Agroforestry Map of Europe - DigitAF",50.918568,5.565197
104,"Lat: 54.409519, Lng: 10.091739","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production biofuel wood
production stemwood","","Motivation/rationale for establishing or maintaining agroforestry system:
Diversified product range
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",54.409519,10.091739
105,"Lat: 54.106478550000006, Lng: 11.653119892005645","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
Erosion protection
Diversified product range
Contribution to climate protection / resilience
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",54.10647855,11.6531198920056
106,"Lat: 53.70183576132909, Lng: 11.42324142850105","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of trees:
production biofuel wood
food production (e.g. production fruit/nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use

(Intended) use of the shrubs:
production biofuel wood
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)
other material use","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Erosion protection
Reduce nutrient input into surface waters
Diversified product range
Contribution to climate protection / resilience","","Agroforestry Map of Europe - DigitAF",53.7018357613291,11.4232414285011
107,"Lat: 53.605205, Lng: 10.894625","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","drought / low water holding capacity
low soil fertility
susceptibility to erosion","(Intended) use of trees:
production stemwood
food production (e.g. production fruit/nut)

","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Landscape / aesthetics","","Agroforestry Map of Europe - DigitAF",53.605205,10.894625
108,"Lat: 53.308611, Lng: 10.54817","Silvoarable system (woody and arable crops incl. intercropped permanent crops)","","(Intended) use of the shrubs:
food production (e.g. production fruit / nut)
environmental benefits (incl. carbon/ windbreaks/ animal welfare/ biodiversity)","","Motivation/rationale for establishing or maintaining agroforestry system:
establish ecological balance
Higher productivity
Diversified product range
Contribution to climate protection / resilience
Landscape / aesthetics
improved marketing","","Agroforestry Map of Europe - DigitAF",53.308611,10.54817
